QuestionType;Question;QuestionID;Answer
radio;The interactions with the other participant felt natural.;q1t17;1
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t17;2
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t17;2
radio;The interactions with the other participant felt natural.;q1t18;2
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t18;2
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t18;2
radio;The interactions with the other participant felt natural.;q1t19;3
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t19;2
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t19;3
radio;The interactions with the other participant felt natural.;q1t20;3
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t20;2
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t20;2
radio;The interactions with the other participant felt natural.;q1t21;3
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t21;1
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t21;1
radio;The interactions with the other participant felt natural.;q1t22;2
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t22;2
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t22;2
radio;The interactions with the other participant felt natural.;q1t23;2
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t23;1
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t23;2
radio;The interactions with the other participant felt natural.;q1t24;2
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t24;3
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t24;2

